SPATIAL ANALYSIS METRICS,,Total reads,3976753
SPATIAL ANALYSIS METRICS,,Total assigned reads,3749835,94.29
SPATIAL ANALYSIS METRICS,,Discarded reads,205999,5.18
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,803970
SPATIAL ANALYSIS METRICS,,Stitched reads,3770754,94.82
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,3749835,99.45
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,44998020
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,44467742,98.82
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,52497690
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,51953611,98.96
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
