SPATIAL ANALYSIS METRICS,,Total reads,738184
SPATIAL ANALYSIS METRICS,,Total assigned reads,695838,94.26
SPATIAL ANALYSIS METRICS,,Discarded reads,38815,5.26
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,156129
SPATIAL ANALYSIS METRICS,,Stitched reads,699369,94.74
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,695838,99.50
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,8350056
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,8253121,98.84
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,9741732
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,9634090,98.90
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
